UserID,Username,IPAddress,DeviceType,Browser,LoginTimestamp,City,Country,Latitude,Longitude,FailedLoginAttempts,Purchases,AverageOrderValue,CartAbandonmentRate,SessionDuration,BrowsingEvents,IsFake
377,kimberlygreen,84.189.196.218,Desktop,Chrome,2025-01-30 10:51:24,Berlin,Germany,52.52,13.405,0,4,61.48303465050547,0.281764862094921,3151,100,0
398,smithnathan,11.210.138.98,Mobile,Chrome,2025-08-04 14:47:10,Paris,France,48.8566,2.3522,0,4,116.1277192869498,0.14983302264722534,1481,100,0
68,cameron56,216.50.219.65,Mobile,Safari,2025-07-12 02:56:58,São Paulo,Brazil,-23.5505,-46.6333,0,1,149.77751532918626,0.2054281247923288,463,21,0
200,douglasjones,68.38.34.245,Tablet,Chrome,2025-07-16 15:02:19,Tokyo,Japan,35.6895,139.6917,0,4,112.2144447883257,0.22233743632757397,2808,88,0
151,lwalsh,21.48.237.85,Mobile,Chrome,2024-09-02 00:04:20,Tokyo,Japan,35.6895,139.6917,0,2,20.221035730443397,0.28478446886939535,978,20,0
173,douglaswillis,203.241.77.101,Mobile,Edge,2025-03-21 12:33:37,Tokyo,Japan,35.6895,139.6917,0,5,118.67959650660258,0.21248698220885187,77,37,0
259,walterwilliams,196.179.189.179,Desktop,Edge,2025-05-08 08:47:37,Mumbai,India,19.076,72.8777,0,5,124.27065239415037,0.10265923700700556,3583,1,0
453,cassandragarcia,197.233.168.1,Tablet,Safari,2025-05-10 07:18:32,Paris,France,48.8566,2.3522,0,0,0.0,0.0,917,42,1
313,debbie75,65.66.97.135,Mobile,Chrome,2025-06-22 11:15:13,Cape Town,South Africa,-33.9249,18.4241,0,4,80.20110474009287,0.12167777704153794,2789,14,0
444,lhubbard,21.57.238.113,Mobile,Firefox,2024-03-31 13:01:28,New York,USA,40.7128,-74.006,0,0,0.0,0.0,3332,52,1
96,brandonmcclure,58.123.157.236,Tablet,Safari,2025-08-14 19:20:24,Tokyo,Japan,35.6895,139.6917,0,5,106.13281173512024,0.14351569861123697,1798,50,0
363,wpowell,128.98.109.170,Mobile,Safari,2023-12-10 18:51:35,Mumbai,India,19.076,72.8777,0,0,0.0,0.639077576652407,2030,57,0
235,riveraalexandra,115.48.31.42,Mobile,Edge,2025-06-12 19:50:22,Berlin,Germany,52.52,13.405,0,1,80.29183731898941,0.18357941515356765,1999,18,0
50,shannongonzalez,137.138.252.120,Mobile,Edge,2025-03-23 05:32:24,São Paulo,Brazil,-23.5505,-46.6333,0,5,131.21066312921886,0.28070609259993523,241,29,0
57,ernestjones,91.107.10.57,Tablet,Firefox,2025-06-12 08:49:58,Toronto,Canada,43.6532,-79.3832,0,5,125.44312471929628,0.17702937467721133,2859,97,0
497,joy97,192.84.233.163,Desktop,Chrome,2025-05-27 00:24:24,New York,USA,40.7128,-74.006,0,3,26.215774180357123,0.1664891222382971,960,76,0
466,christopherduarte,178.201.5.36,Tablet,Chrome,2025-08-07 21:15:39,Mumbai,India,19.076,72.8777,0,1,42.91906278846338,0.20406324102748793,2950,42,0
448,wongdavid,39.54.240.210,Mobile,Chrome,2025-08-30 18:38:11,Cape Town,South Africa,-33.9249,18.4241,0,1,55.65105609750514,0.22681368678992997,2883,3,0
172,cgarcia,173.249.194.215,Mobile,Chrome,2025-01-20 18:07:33,São Paulo,Brazil,-23.5505,-46.6333,0,0,0.0,0.0,2313,11,1
483,rachelconley,183.170.246.15,Mobile,Edge,2024-05-27 18:29:02,São Paulo,Brazil,-23.5505,-46.6333,0,3,62.55974854932497,0.2889423852427722,418,2,0
131,tonioconnor,65.37.165.241,Mobile,Safari,2025-08-21 20:05:52,Toronto,Canada,43.6532,-79.3832,0,4,74.08899161296964,0.06628151324156478,3594,58,0
384,hernandezbrian,95.142.120.226,Mobile,Chrome,2025-05-29 10:02:57,Paris,France,48.8566,2.3522,0,0,0.0,0.7341988215703363,3157,7,0
187,hwilliams,196.33.200.168,Desktop,Chrome,2025-05-04 15:11:08,Cape Town,South Africa,-33.9249,18.4241,0,4,147.40659292263666,0.034241684882500775,1597,53,0
498,willishannah,61.140.10.214,Mobile,Safari,2025-01-31 00:55:39,London,UK,51.5074,-0.1278,0,0,0.0,0.0,2383,84,1
430,richardsrichard,177.174.191.216,Tablet,Edge,2025-05-19 02:40:04,São Paulo,Brazil,-23.5505,-46.6333,0,3,104.39400236496495,0.046575880130916576,50,22,0
101,tommy06,214.62.229.216,Mobile,Firefox,2025-08-25 00:15:35,Mumbai,India,19.076,72.8777,0,4,61.78350865383557,0.15195410296378786,2923,6,0
304,ublair,223.187.28.90,Tablet,Firefox,2024-08-03 00:33:51,Cape Town,South Africa,-33.9249,18.4241,0,0,0.0,0.4736238122890595,3478,35,0
18,nathaniel13,41.3.111.64,Desktop,Safari,2025-08-14 03:21:47,Toronto,Canada,43.6532,-79.3832,0,3,84.65154290442496,0.24690544343289672,3582,19,0
389,ochoalauren,221.171.97.160,Mobile,Edge,2025-07-31 19:04:17,São Paulo,Brazil,-23.5505,-46.6333,0,0,0.0,0.0,2696,15,1
186,christina57,83.178.57.180,Desktop,Chrome,2025-08-10 23:51:07,Toronto,Canada,43.6532,-79.3832,0,4,59.86967107065014,0.07278917070703321,1011,72,0
419,jacobsonlori,197.74.105.21,Desktop,Firefox,2025-06-01 19:09:23,Paris,France,48.8566,2.3522,0,0,0.0,0.0,701,89,1
312,bbrewer,17.85.191.130,Desktop,Chrome,2025-08-21 11:25:16,São Paulo,Brazil,-23.5505,-46.6333,0,1,44.45198303025583,0.004236845442827153,3265,7,0
